query_id,candidate_id,baseline_rank,baseline_score,gold_label,gemini-2.5-flash-lite_score,gemini-2.5-flash-lite_rank,gpt-5-nano_score,gpt-5-nano_rank,gpt-4.1_score,gpt-4.1_rank
1,a,1,0.863,1,1.0,1,0.9,1,1.0,1
1,d,4,0.6773,0,0.8,2,0.9,2,0.9,2
1,c,3,0.7407,0,0.2,3,0.65,3,0.6,3
1,f,6,0.5601,0,0.2,4,0.5,4,0.6,4
1,b,2,0.7914,1,0.1,5,0.0,5,0.0,5
1,e,5,0.6112,0,0.0,6,0.0,6,0.0,6
1,g,7,0.4907,0,0.0,7,0.0,7,0.0,7
2,f,6,0.5625,0,0.7,1,0.9,1,1.0,1
2,a,1,0.8518,1,0.6,2,0.2,3,0.5,2
2,b,2,0.7985,1,0.4,3,0.2,4,0.5,3
2,c,3,0.7465,0,0.4,4,0.35,2,0.5,4
2,d,4,0.6725,1,0.1,5,0.15,5,0.0,5
2,e,5,0.6145,0,0.0,6,0.0,6,0.0,6
3,a,1,0.8695,1,1.0,1,0.9,1,1.0,1
3,e,5,0.6129,0,0.2,2,0.4,2,0.7,2
3,b,2,0.7909,1,0.1,3,0.2,3,0.2,4
3,d,4,0.6758,1,0.1,4,0.2,4,0.3,3
3,c,3,0.7472,0,0.0,5,0.0,5,0.0,5
4,a,1,0.8521,1,1.0,1,0.9,1,1.0,1
4,e,5,0.6242,1,0.4,2,0.2,4,0.2,4
4,b,2,0.8014,0,0.2,3,0.3,3,0.5,3
4,c,3,0.7338,0,0.2,4,0.5,2,0.6,2
4,d,4,0.6719,0,0.0,5,0.0,5,0.0,5
5,a,1,0.8599,1,1.0,1,1.0,1,1.0,1
5,b,2,0.8006,0,0.6,2,0.4,2,0.8,2
5,e,5,0.6285,1,0.4,3,0.2,4,0.5,3
5,c,3,0.7455,0,0.1,4,0.3,3,0.0,4
5,d,4,0.6793,0,0.0,5,0.0,5,0.0,5
6,c,3,0.7349,0,0.7,1,0.75,1,1.0,2
6,a,1,0.8659,1,0.6,2,0.65,2,1.0,1
6,b,2,0.804,1,0.1,3,0.5,3,0.5,4
6,e,5,0.6205,0,0.1,4,0.5,4,0.6,3
6,d,4,0.6815,0,0.0,5,0.0,5,0.0,5
7,a,1,0.8622,1,0.8,1,1.0,1,1.0,1
7,b,2,0.7915,1,0.8,2,0.75,2,0.8,2
7,c,3,0.7402,0,0.1,3,0.45,3,0.6,3
7,d,4,0.6733,0,0.0,4,0.0,5,0.0,4
7,e,5,0.6168,0,0.0,5,0.2,4,0.0,5
8,a,1,0.8653,1,0.7,1,0.8,1,0.8,1
8,b,2,0.8015,0,0.6,2,0.7,2,0.7,2
8,c,3,0.7475,1,0.2,3,0.25,3,0.4,3
8,e,5,0.6239,1,0.1,4,0.2,4,0.0,5
8,d,4,0.6763,0,0.0,5,0.0,5,0.0,4
9,a,1,0.8668,1,0.7,1,0.3,2,0.5,1
9,b,2,0.8089,1,0.3,2,0.4,1,0.5,2
9,c,3,0.7395,1,0.2,3,0.25,3,0.3,3
9,e,5,0.6112,0,0.2,4,0.1,4,0.3,4
9,d,4,0.6833,0,0.0,5,0.0,5,0.0,5
10,a,1,0.8643,1,1.0,1,0.9,1,0.8,1
10,c,3,0.7369,1,0.7,2,0.25,3,0.5,2
10,b,2,0.8077,1,0.2,3,0.25,2,0.3,3
10,e,5,0.6171,0,0.1,4,0.25,4,0.0,5
10,d,4,0.6888,0,0.0,5,0.0,5,0.0,4
11,b,2,0.8054,1,0.9,1,0.85,1,1.0,1
11,a,1,0.8512,1,0.7,2,0.3,2,0.3,2
11,c,3,0.7326,0,0.1,3,0.2,3,0.0,3
11,d,4,0.675,0,0.0,4,0.0,4,0.0,4
11,e,5,0.6178,0,0.0,5,0.0,5,0.0,5
12,b,2,0.801,0,1.0,1,0.7,2,1.0,1
12,c,3,0.7477,1,1.0,2,0.9,1,0.8,2
12,d,4,0.6864,0,0.6,3,0.7,3,0.7,3
12,a,1,0.859,1,0.2,4,0.2,4,0.5,4
12,e,5,0.6273,0,0.1,5,0.0,5,0.0,5
13,b,2,0.7976,1,0.4,1,0.25,2,0.6,1
13,a,1,0.8637,1,0.3,2,0.3,1,0.5,2
13,d,4,0.6717,0,0.2,3,0.2,3,0.2,3
13,c,3,0.7346,0,0.1,4,0.0,4,0.0,4
13,e,5,0.613,0,0.0,5,0.0,5,0.0,5
14,a,1,0.8666,1,1.0,1,1.0,1,1.0,1
14,b,2,0.7936,0,0.6,2,0.9,2,0.7,2
14,c,3,0.7356,0,0.2,3,0.1,4,0.0,3
14,e,5,0.6207,0,0.2,4,0.25,3,0.0,5
14,d,4,0.6729,1,0.0,5,0.0,5,0.0,4
15,a,1,0.8638,1,1.0,1,0.9,1,1.0,1
15,b,2,0.8003,1,0.2,2,0.25,3,0.3,3
15,c,3,0.7424,0,0.2,3,0.25,4,0.4,2
15,e,5,0.6111,0,0.2,4,0.4,2,0.3,4
15,d,4,0.6835,0,0.0,5,0.0,5,0.0,5
16,a,1,0.858,1,1.0,1,1.0,1,1.0,1
16,b,2,0.7921,1,0.7,2,0.7,2,0.5,2
16,e,5,0.6113,0,0.2,3,0.2,4,0.0,5
16,c,3,0.7427,0,0.1,4,0.2,3,0.0,3
16,d,4,0.6712,0,0.0,5,0.0,5,0.0,4
17,b,2,0.7911,0,0.7,1,0.4,1,0.8,1
17,a,1,0.8568,1,0.4,2,0.15,4,0.5,3
17,c,3,0.73,0,0.2,3,0.4,2,0.7,2
17,e,5,0.612,1,0.1,4,0.25,3,0.2,4
17,d,4,0.673,1,0.0,5,0.0,5,0.0,5
18,a,1,0.8675,1,1.0,1,0.9,1,1.0,1
18,b,2,0.8023,1,0.1,2,0.2,2,0.3,2
18,c,3,0.733,0,0.1,3,0.0,3,0.0,3
18,e,5,0.6169,0,0.1,4,0.0,5,0.0,5
18,d,4,0.675,0,0.0,5,0.0,4,0.0,4
19,a,1,0.8523,1,1.0,1,1.0,1,1.0,1
19,b,2,0.7998,1,0.6,2,0.85,2,0.9,2
19,c,3,0.7496,0,0.1,3,0.3,3,0.0,3
19,d,4,0.6796,0,0.1,4,0.0,4,0.0,4
19,e,5,0.6162,0,0.0,5,0.0,5,0.0,5
20,c,3,0.7438,0,0.5,1,0.6,1,0.7,2
20,a,1,0.8648,1,0.4,2,0.25,3,0.7,1
20,b,2,0.7996,1,0.2,3,0.3,2,0.6,3
20,e,5,0.6141,0,0.1,4,0.2,4,0.2,4
20,d,4,0.6803,0,0.0,5,0.0,5,0.0,5
